,mSSD-124,mSSD-220,yolov3-tiny-128,yolov3-tiny-224
P_s2s,0.706875449964003,0.7488322585978839,0.5255952380952381,0.5279262086513997
P_u2s,0.43165967937562644,0.6309786359408284,0.13476195942105038,0.21265954512400004
P_visible,0.4185419064653233,0.6042481450802516,0.12141787193333595,0.20392888080664226
