,mSSD-124,mSSD-220,yolov3-tiny-128,yolov3-tiny-224
P_s2s,0.18235199101648808,0.10020838456509745,0.39536448311179273,0.36669124392671115
P_u2s,0.10308949341901595,0.15855845075391412,0.032504546708975686,0.07246546205355882
P_visible,0.23039175367931478,0.21555956293152448,0.1655494109964502,0.24562581982837675
